regions,day,price,Year
France,2020-04-01,193.7,2020
Germany,2020-04-01,183.8,2020
Japan,2020-04-01,171.4,2020
UK,2020-04-01,190.5,2020
USA,2020-04-01,68.3,2020
Canada,2020-05-01,93.6,2020
France,2020-05-01,189.4,2020
Germany,2020-05-01,181.9,2020
Japan,2020-05-01,163.7,2020
UK,2020-05-01,182.5,2020
USA,2020-05-01,69.0,2020
Canada,2020-06-01,102.9,2020
France,2020-06-01,199.7,2020
Germany,2020-06-01,193.2,2020
Japan,2020-06-01,163.6,2020
UK,2020-06-01,181.0,2020
USA,2020-06-01,74.6,2020
Canada,2020-07-01,108.0,2020
France,2020-07-01,207.9,2020
Germany,2020-07-01,201.2,2020
Japan,2020-07-01,167.4,2020
UK,2020-07-01,190.4,2020
USA,2020-07-01,78.3,2020
Canada,2020-08-01,106.0,2020
France,2020-08-01,208.0,2020
Germany,2020-08-01,201.4,2020
Japan,2020-08-01,169.6,2020
UK,2020-08-01,196.1,2020
USA,2020-08-01,76.9,2020
Canada,2020-09-01,106.0,2020
France,2020-09-01,208.0,2020
Germany,2020-09-01,201.4,2020
Japan,2020-09-01,169.6,2020
UK,2020-09-01,194.8,2020
USA,2020-09-01,76.9,2020
Canada,2020-10-01,104.0,2020
France,2020-10-01,206.7,2020
Germany,2020-10-01,198.8,2020
Japan,2020-10-01,168.5,2020
UK,2020-10-01,193.5,2020
USA,2020-10-01,75.0,2020
Canada,2020-11-01,104.0,2020
France,2020-11-01,206.7,2020
Germany,2020-11-01,194.8,2020
Japan,2020-11-01,168.5,2020
UK,2020-11-01,196.2,2020
USA,2020-11-01,73.7,2020
Canada,2020-12-01,107.0,2020
France,2020-12-01,208.9,2020
Germany,2020-12-01,197.4,2020
Japan,2020-12-01,165.6,2020
UK,2020-12-01,194.9,2020
USA,2020-12-01,73.9,2020
Canada,2021-01-01,113.0,2021
France,2021-01-01,219.6,2021
Germany,2021-01-01,218.3,2021
Japan,2021-01-01,169.5,2021
UK,2021-01-01,204.2,2021
USA,2021-01-01,79.6,2021
Canada,2021-02-01,120.0,2021
France,2021-02-01,222.1,2021
Germany,2021-02-01,220.9,2021
Japan,2021-02-01,171.1,2021
UK,2021-02-01,213.2,2021
USA,2021-02-01,84.3,2021
Canada,2021-03-01,127.0,2021
France,2021-03-01,225.1,2021
Germany,2021-03-01,225.1,2021
Japan,2021-03-01,171.0,2021
UK,2021-03-01,216.3,2021
USA,2021-03-01,93.0,2021
Canada,2021-04-01,130.0,2021
France,2021-04-01,226.3,2021
Germany,2021-04-01,227.5,2021
Japan,2021-04-01,172.5,2021
UK,2021-04-01,217.5,2021
USA,2021-04-01,95.0,2021
Canada,2021-05-01,133.0,2021
France,2021-05-01,223.7,2021
Germany,2021-05-01,226.1,2021
Japan,2021-05-01,168.1,2021
UK,2021-05-01,216.4,2021
USA,2021-05-01,95.5,2021
Canada,2021-06-01,137.0,2021
France,2021-06-01,226.3,2021
Germany,2021-06-01,231.2,2021
Japan,2021-06-01,172.5,2021
UK,2021-06-01,222.6,2021
USA,2021-06-01,99.1,2021
Canada,2021-07-01,142.0,2021
France,2021-07-01,233.7,2021
Germany,2021-07-01,238.8,2021
Japan,2021-07-01,179.7,2021
UK,2021-07-01,230.0,2021
USA,2021-07-01,104.3,2021
Canada,2021-08-01,141.0,2021
France,2021-08-01,234.2,2021
Germany,2021-08-01,239.2,2021
Japan,2021-08-01,181.3,2021
UK,2021-08-01,234.2,2021
USA,2021-08-01,104.5,2021
Canada,2021-09-01,140.0,2021
France,2021-09-01,234.6,2021
Germany,2021-09-01,242.2,2021
Japan,2021-09-01,181.6,2021
UK,2021-09-01,233.3,2021
USA,2021-09-01,105.9,2021
Canada,2021-10-01,148.0,2021
France,2021-10-01,236.3,2021
Germany,2021-10-01,246.3,2021
Japan,2021-10-01,180.3,2021
UK,2021-10-01,236.3,2021
USA,2021-10-01,108.2,2021
Canada,2021-11-01,146.0,2021
France,2021-11-01,237.9,2021
Germany,2021-11-01,250.5,2021
Japan,2021-11-01,186.3,2021
UK,2021-11-01,246.7,2021
USA,2021-11-01,113.3,2021
Canada,2021-12-01,142.0,2021
France,2021-12-01,236.7,2021
Germany,2021-12-01,241.8,2021
Japan,2021-12-01,186.8,2021
UK,2021-12-01,248.2,2021
USA,2021-12-01,111.3,2021
Canada,2022-01-01,150.0,2022
France,2022-01-01,244.1,2022
Germany,2022-01-01,251.7,2022
Japan,2022-01-01,185.6,2022
UK,2022-01-01,250.4,2022
USA,2022-01-01,111.9,2022
Canada,2022-02-01,161.0,2022
France,2022-02-01,259.4,2022
Germany,2022-02-01,263.2,2022
Japan,2022-02-01,190.4,2022
UK,2022-02-01,255.6,2022
USA,2022-02-01,118.8,2022
Canada,2022-03-01,181.0,2022
France,2022-03-01,277.2,2022
Germany,2022-03-01,300.0,2022
Japan,2022-03-01,186.1,2022
UK,2022-03-01,267.1,2022
USA,2022-03-01,141.8,2022
Canada,2022-04-01,176.0,2022
France,2022-04-01,246.9,2022
Germany,2022-04-01,278.6,2022
Japan,2022-04-01,173.5,2022
UK,2022-04-01,264.6,2022
USA,2022-04-01,138.0,2022
