regions,day,price,Year
USA,2016-10-01,53.437323772063436,2016
Canada,2016-11-01,13.5,2016
France,2016-11-01,7.496097000000002,2016
Germany,2016-11-01,18.007425,2016
Japan,2016-11-01,7.615510204081635,2016
UK,2016-11-01,107.91274971776474,2016
USA,2016-11-01,62.04636601088436,2016
Canada,2016-12-01,13.67,2016
France,2016-12-01,7.367775999999999,2016
Germany,2016-12-01,17.472479999999994,2016
Japan,2016-12-01,7.343107179824973,2016
UK,2016-12-01,120.11309110799307,2016
USA,2016-12-01,62.56380782535052,2016
Canada,2017-01-01,13.37,2017
France,2017-01-01,6.947863600000002,2017
Germany,2017-01-01,17.500898000000007,2017
Japan,2017-01-01,7.954755715776493,2017
UK,2017-01-01,119.58038575953651,2017
USA,2017-01-01,59.559719191727545,2017
Canada,2017-02-01,13.38,2017
France,2017-02-01,9.3688662,2017
Germany,2017-02-01,19.496151,2017
Japan,2017-02-01,7.708276181649675,2017
UK,2017-02-01,116.93748826757825,2017
USA,2017-02-01,60.56876126941613,2017
Canada,2017-03-01,13.8,2017
France,2017-03-01,9.9684312,2017
Germany,2017-03-01,21.34688,2017
Japan,2017-03-01,8.4,2017
UK,2017-03-01,113.38828303869082,2017
USA,2017-03-01,56.39999866666668,2017
Canada,2017-04-01,12.99,2017
France,2017-04-01,11.0054475,2017
Germany,2017-04-01,22.59576,2017
Japan,2017-04-01,8.125886259470581,2017
UK,2017-04-01,118.2331914392248,2017
USA,2017-04-01,56.86785948321018,2017
Canada,2017-05-01,17.799999,2017
France,2017-05-01,14.98857,2017
Germany,2017-05-01,25.793763,2017
Japan,2017-05-01,8.814678865507776,2017
UK,2017-05-01,129.2372720317735,2017
USA,2017-05-01,66.05551143641354,2017
Canada,2017-06-01,17.379998999999998,2017
France,2017-06-01,18.921017499999998,2017
Germany,2017-06-01,30.1963359845,2017
Japan,2017-06-01,9.604425528121938,2017
UK,2017-06-01,117.68775695288319,2017
USA,2017-06-01,67.97393707104021,2017
Canada,2017-07-01,19.83,2017
France,2017-07-01,16.906647500000002,2017
Germany,2017-07-01,26.871736021500002,2017
Japan,2017-07-01,8.952361549246406,2017
UK,2017-07-01,119.40552500199014,2017
USA,2017-07-01,65.34835131572031,2017
Canada,2017-08-01,23.34,2017
France,2017-08-01,18.907571,2017
Germany,2017-08-01,31.050859000000003,2017
Japan,2017-08-01,9.394650355570606,2017
UK,2017-08-01,124.25446681697227,2017
USA,2017-08-01,55.8189476357941,2017
Canada,2017-09-01,26.24,2017
France,2017-09-01,19.78322,2017
Germany,2017-09-01,34.86533000000001,2017
Japan,2017-09-01,9.903255033557047,2017
UK,2017-09-01,123.39090707032312,2017
USA,2017-09-01,59.08361826006712,2017
Canada,2017-10-01,25.559998999999998,2017
France,2017-10-01,19.754015,2017
Germany,2017-10-01,40.24238,2017
Japan,2017-10-01,9.60389971201084,2017
UK,2017-10-01,137.36264675780808,2017
USA,2017-10-01,58.245412502117546,2017
Canada,2017-11-01,24.59,2017
France,2017-11-01,17.900776999999994,2017
Germany,2017-11-01,43.2645834986,2017
Japan,2017-11-01,10.272869445401307,2017
UK,2017-11-01,140.6544098323511,2017
USA,2017-11-01,65.1604521160868,2017
Canada,2017-12-01,25.879998999999998,2017
France,2017-12-01,20.778758,2017
Germany,2017-12-01,47.004670469900006,2017
Japan,2017-12-01,10.698469499368954,2017
UK,2017-12-01,158.8419097730239,2017
USA,2017-12-01,66.98451953714769,2017
Canada,2018-01-01,23.91,2018
France,2018-01-01,18.813789,2018
Germany,2018-01-01,43.222086,2018
Japan,2018-01-01,10.408046360376886,2018
UK,2018-01-01,164.03743949764998,2018
USA,2018-01-01,68.1162744934545,2018
Canada,2018-02-01,27.059998999999998,2018
France,2018-02-01,15.004204799999998,2018
Germany,2018-02-01,42.39117753479999,2018
Japan,2018-02-01,10.064464242716108,2018
UK,2018-02-01,162.70196820521025,2018
