regions,price,Year,iso_alpha
France,265.4,2022,FRA
Germany,246.0,2022,DEU
Japan,163.1,2022,JPN
UK,293.9,2022,GBR
USA,156.6,2022,USA
Canada,172.0,2022,CAN
France,236.7,2022,FRA
Germany,235.4,2022,DEU
Japan,161.7,2022,JPN
UK,271.6,2022,GBR
USA,135.8,2022,USA
Canada,159.0,2022,CAN
France,208.4,2022,FRA
Germany,264.6,2022,DEU
Japan,159.0,2022,JPN
UK,252.5,2022,GBR
USA,130.9,2022,USA
Canada,174.0,2022,CAN
France,224.7,2022,FRA
Germany,265.8,2022,DEU
Japan,157.6,2022,JPN
UK,253.5,2022,GBR
USA,138.4,2022,USA
Canada,165.0,2022,CAN
France,236.1,2022,FRA
Germany,257.6,2022,DEU
Japan,158.3,2022,JPN
UK,257.6,2022,GBR
USA,130.1,2022,USA
Canada,145.0,2022,CAN
France,243.5,2022,FRA
Germany,253.1,2022,DEU
Japan,171.0,2022,JPN
UK,258.5,2022,GBR
USA,116.3,2022,USA
Canada,153.0,2023,CAN
France,266.8,2023,FRA
Germany,258.0,2023,DEU
Japan,173.0,2023,JPN
UK,245.3,2023,GBR
USA,118.5,2023,USA
Canada,153.0,2023,CAN
France,273.2,2023,FRA
Germany,261.2,2023,DEU
Japan,168.8,2023,JPN
UK,239.7,2023,GBR
USA,120.5,2023,USA
